code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Kasse,10
1010,,asset_cash,false,Kasse Fremdwährung,20
1020,,asset_cash,false,Post-/Bankkonto CHF,30
1021,,asset_cash,false,Post-/Bankkonto Fremdwährung,40
1023,,asset_cash,false,PostFinance-Konto,50
1030,,asset_current,true,Festgeldanlagen,60
1050,,asset_current,true,Wertschriften Obligationen,70
1055,,asset_current,true,Wertschriften Aktien,80
1100,,asset_receivable,true,Forderungen aus Lieferungen und Leistungen,90
1101,,asset_receivable,true,Forderungen gegenüber nahestehenden Personen,100
1109,,asset_receivable,true,Delkredere (Wertberichtigung auf Forderungen),110
1110,,asset_receivable,true,Kreditkartenforderungen,120
1140,,asset_current,false,Vorschüsse an Mitarbeitende,130
1150,,asset_current,false,Verrechnungssteuerguthaben,140
1170,,asset_current,false,Vorsteuer Material- und Dienstleistungsaufwand,150
1171,,asset_current,false,Vorsteuer Investitionen und übriger Betriebsaufwand,160
1176,,asset_current,true,Verrechnungskonto Eidgenössische Steuerverwaltung (Vorsteuerüberschuss),170
1180,,asset_current,false,Kautionen und Depots (kurzfristig),180
1185,,asset_current,false,Übrige kurzfristige Forderungen,190
1200,,asset_current,false,Handelswaren,200
1210,,asset_current,false,Rohmaterial,210
1220,,asset_current,false,Unfertige Erzeugnisse,220
1230,,asset_current,false,Fertige Erzeugnisse,230
1260,,asset_current,false,Wertberichtigung Warenlager,240
1300,,asset_prepayments,false,Aktive Rechnungsabgrenzung,250
1301,,asset_prepayments,false,Vorausbezahlte Miete,260
1302,,asset_prepayments,false,Vorausbezahlte Versicherungen,270
1500,,asset_fixed,false,Mobiliar und Einrichtungen,280
1501,,asset_fixed,false,Werkzeuge,290
1502,,asset_fixed,false,Ladeneinrichtung,300
1510,,asset_fixed,false,Maschinen und Apparate,310
1520,,asset_fixed,false,Fahrzeuge (Personenwagen),320
1521,,asset_fixed,false,Fahrzeuge (Lieferwagen),330
1530,,asset_fixed,false,Informatik Hardware,340
1531,,asset_fixed,false,Softwarelizenzen,350
1540,,asset_fixed,false,Mietereinbauten,360
1600,,asset_fixed,false,Liegenschaften — Gebäude,370
1601,,asset_fixed,false,Liegenschaften — Land,380
1700,,asset_non_current,false,Darlehen an Dritte,390
1710,,asset_non_current,false,Wertschriften (langfristig),400
1720,,asset_non_current,false,Beteiligungen,410
2000,,liability_payable,true,Verbindlichkeiten aus Lieferungen und Leistungen,420
2001,,liability_payable,true,Verbindlichkeiten gegenüber nahestehenden Personen,430
2020,,liability_payable,true,Kreditkartenverbindlichkeiten,440
2030,,liability_current,false,Kurzfristige Bankverbindlichkeiten (Kontokorrent),450
2050,,liability_current,false,Kurzfristige Darlehen Dritter,460
2100,,liability_current,false,MWST geschuldet (Umsatzsteuer auf Leistungen),470
2110,,liability_current,false,Bezugsteuer geschuldet,480
2120,,liability_current,false,Quellensteuer geschuldet,490
2130,,liability_current,false,AHV/IV/EO/ALV geschuldet,500
