code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Business transaction account,20
1020,,asset_cash,false,Business savings account,30
1030,,asset_cash,false,Foreign currency account,40
1040,,asset_cash,false,Merchant card clearing account,50
1050,,asset_cash,false,Term deposits of three months or less,60
1060,,asset_cash,false,Cash in transit,70
1100,,asset_receivable,true,Trade debtors,80
1105,,asset_current,false,Allowance for expected credit losses,90
1110,,asset_current,false,Amounts receivable from related parties,100
1120,,asset_current,false,Other debtors,110
1130,,asset_current,false,Accrued income,120
1140,,asset_current,false,Employee advances,130
1150,,asset_current,false,GST paid — input tax credits,140
1152,,asset_current,false,GST on purchases accounted for on a cash basis — awaiting payment,150
1155,,asset_current,true,GST refund due from the ATO — net of a lodged activity statement,160
1200,,asset_current,false,Inventory — raw materials and consumables,170
1210,,asset_current,false,Inventory — work in progress,180
1220,,asset_current,false,Inventory — finished goods and goods for resale,190
1230,,asset_current,false,Goods in transit,200
1300,,asset_current,false,Term deposits of more than three months,210
1310,,asset_current,false,Listed securities held for trading,220
1320,,asset_current,false,Loans to related parties — current,230
1350,,asset_current,false,Income tax refundable,240
1400,,asset_prepayments,false,Prepayments,250
1410,,asset_prepayments,false,Deposits paid,260
1420,,asset_prepayments,false,Payments on account to suppliers,270
1600,,asset_fixed,false,Land,280
1610,,asset_fixed,false,Buildings,290
1611,,asset_fixed,false,Buildings — accumulated depreciation,300
1620,,asset_fixed,false,Leasehold improvements,310
1621,,asset_fixed,false,Leasehold improvements — accumulated depreciation,320
1630,,asset_fixed,false,Plant and equipment,330
1631,,asset_fixed,false,Plant and equipment — accumulated depreciation,340
1640,,asset_fixed,false,Office furniture and equipment,350
1641,,asset_fixed,false,Office furniture and equipment — accumulated depreciation,360
1650,,asset_fixed,false,Computer equipment,370
1651,,asset_fixed,false,Computer equipment — accumulated depreciation,380
1660,,asset_fixed,false,Motor vehicles,390
1661,,asset_fixed,false,Motor vehicles — accumulated depreciation,400
1670,,asset_fixed,false,Right-of-use assets,410
1671,,asset_fixed,false,Right-of-use assets — accumulated depreciation,420
1680,,asset_fixed,false,Capital works in progress,430
1700,,asset_non_current,false,Investment property,440
1750,,asset_fixed,false,Goodwill,450
1751,,asset_fixed,false,Goodwill — accumulated impairment,460
1760,,asset_fixed,false,Software and development costs,470
1761,,asset_fixed,false,Software and development costs — accumulated amortisation,480
1770,,asset_fixed,false,"Patents, trade marks and licences",490
1771,,asset_fixed,false,"Patents, trade marks and licences — accumulated amortisation",500
1800,,asset_non_current,false,Investments in associates,510
1810,,asset_non_current,false,Investments in joint ventures,520
1820,,asset_non_current,false,Shares in unlisted entities,530
1830,,asset_non_current,false,Loans to related parties — non-current,540
1840,,asset_non_current,false,Security deposits — non-current,550
1900,,asset_non_current,false,Deferred tax assets,560
2000,,liability_payable,true,Trade creditors,570
2010,,liability_current,false,Accrued expenses,580
2020,,liability_current,false,Amounts payable to related parties,590
2030,,liability_current,false,Other creditors,600
2040,,liability_current,false,Customer deposits and contract liabilities,610
2050,,liability_current,false,Wages payable,620
2060,,liability_current,false,Superannuation guarantee contributions payable,630
2070,,liability_current,false,Payroll tax payable,640
2080,,liability_current,false,Dividends payable,650
2100,,liability_current,false,GST collected on sales,660
2105,,liability_current,false,GST on sales accounted for on a cash basis — awaiting payment,670
2110,,liability_current,true,Activity statement payable to the ATO — net of a lodged statement,680
2115,,liability_current,false,Deferred GST on imported goods,690
2120,,liability_current,false,PAYG withholding payable,700
2130,,liability_current,false,Fringe benefits tax payable,710
2200,,liability_current,false,Bank overdraft,720
2210,,liability_credit_card,false,Business credit card,730
2220,,liability_current,false,Bank loans — current,740
2230,,liability_current,false,Lease liabilities — current,750
2240,,liability_current,false,Hire purchase and chattel mortgage — current,760
2300,,liability_current,false,Income tax payable,770
2350,,liability_current,false,Provision for annual leave,780
2360,,liability_current,false,Provision for long service leave — current,790
2370,,liability_current,false,Provision for warranties and other provisions — current,800
2400,,liability_non_current,false,Bank loans — non-current,810
2410,,liability_non_current,false,Lease liabilities — non-current,820
2420,,liability_non_current,false,Hire purchase and chattel mortgage — non-current,830
2430,,liability_non_current,false,Loans from shareholders and related parties — non-current,840
2500,,liability_non_current,false,Deferred tax liabilities,850
2550,,liability_non_current,false,Provision for long service leave — non-current,860
2560,,liability_non_current,false,Provision for make good and restoration,870
2990,,liability_current,false,Suspense account,880
3000,,equity,false,Issued capital — ordinary shares,890
3010,,equity,false,Issued capital — preference shares,900
3100,,equity,false,Asset revaluation reserve,910
3110,,equity,false,Other reserves,920
3200,,equity_retained,false,Retained earnings,930
3210,,equity_retained,false,Dividends paid,940
4000,,income,false,Sales — goods,950
4010,,income,false,Sales — services,960
4020,,income,false,Sales — GST-free goods and services,970
4030,,income,false,Sales — exports,980
4040,,income,false,Residential rental income,990
4050,,income,false,Retail takings,1000
4080,,income,false,Sales returns and allowances,1010
4090,,income,false,Discounts allowed,1020
4500,,income_other,false,Interest income,1030
4510,,income_other,false,Commercial rental income,1040
4520,,income_other,false,Government grants,1050
4530,,income_other,false,Sundry income,1060
4700,,income_other,false,Foreign exchange gains,1070
4750,,income_other,false,Gain on disposal of non-current assets,1080
5000,,expense_direct_cost,false,Purchases — goods for resale,1090
5010,,expense_direct_cost,false,Purchases — raw materials and consumables,1100
5020,,expense_direct_cost,false,Freight and cartage inwards,1110
5030,,expense_direct_cost,false,Customs duty and import charges,1120
5040,,expense_direct_cost,false,Changes in inventories,1130
5100,,expense_direct_cost,false,Subcontractors,1140
6000,,expense,false,Wages and salaries,1150
6010,,expense,false,Directors' fees,1160
6020,,expense,false,Superannuation contributions,1170
6030,,expense,false,Payroll tax,1180
6040,,expense,false,Workers' compensation insurance,1190
6050,,expense,false,Annual and long service leave expense,1200
6060,,expense,false,Fringe benefits tax,1210
6070,,expense,false,Staff training and amenities,1220
6200,,expense_depreciation,false,Depreciation — buildings and leasehold improvements,1230
6210,,expense_depreciation,false,"Depreciation — plant, equipment and motor vehicles",1240
6220,,expense_depreciation,false,Depreciation — right-of-use assets,1250
6230,,expense_depreciation,false,Amortisation of intangible assets,1260
6300,,expense,false,Rent and outgoings,1270
6310,,expense,false,"Electricity, gas and water",1280
6320,,expense,false,Repairs and maintenance,1290
6330,,expense,false,Insurance,1300
6340,,expense,false,Telephone and internet,1310
6350,,expense,false,Software subscriptions,1320
6360,,expense,false,Advertising and marketing,1330
6370,,expense,false,Motor vehicle expenses,1340
6380,,expense,false,Travel and accommodation,1350
6390,,expense,false,Entertainment,1360
6400,,expense,false,Accounting and audit fees,1370
6410,,expense,false,Legal and professional fees,1380
6420,,expense,false,Consulting fees,1390
6430,,expense,false,Bank fees and merchant charges,1400
6440,,expense,false,"Printing, postage and stationery",1410
6450,,expense,false,Subscriptions and memberships,1420
6460,,expense,false,Bad debts and expected credit losses,1430
6470,,expense,false,Donations,1440
6480,,expense,false,Council rates and land tax,1450
6490,,expense,false,Sundry expenses,1460
6950,,expense,false,Foreign exchange losses,1470
6960,,expense,false,Loss on disposal of non-current assets,1480
6990,,expense,false,Rounding differences,1490
7000,,expense,false,Interest on bank loans and overdraft,1500
7010,,expense,false,Interest on lease liabilities,1510
7020,,expense,false,Hire purchase and chattel mortgage interest,1520
7030,,expense,false,General interest charge,1530
8000,,expense,false,Income tax expense — current,1540
8010,,expense,false,Income tax expense — deferred,1550
8020,,expense,false,Income tax — under or over provision of prior years,1560
