code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Current account — GHS,20
1020,,asset_cash,false,Fixed deposits placed for three months or less,30
1030,,asset_cash,false,Foreign currency account — USD,40
1040,,asset_cash,false,Cash in transit — mobile money and card settlements,50
1100,,asset_receivable,true,Trade receivables,60
1110,,asset_current,false,Trade receivables — allowance for impairment,70
1120,,asset_current,false,Other receivables,80
1130,,asset_current,false,Amounts due from related companies,90
1140,,asset_current,false,Deposits paid,100
1150,,asset_current,false,VAT input tax,110
1151,,asset_current,false,NHIL input levy,120
1152,,asset_current,false,GETFund input levy,130
1155,,asset_current,true,VAT and levies refundable by GRA — net of a filed return,140
1156,,asset_current,false,Withholding VAT credits — certificates received,150
1157,,asset_current,false,Upfront VAT paid at import — recoverable,160
1160,,asset_current,false,Advances to staff,170
1200,,asset_current,false,Inventories — goods for resale,180
1210,,asset_current,false,Inventories — raw materials,190
1220,,asset_current,false,Inventories — work in progress,200
1230,,asset_current,false,Inventories — finished goods,210
1300,,asset_current,false,Short-term investments,220
1350,,asset_current,false,Current tax recoverable,230
1400,,asset_prepayments,false,Prepayments,240
1410,,asset_prepayments,false,Accrued income,250
1600,,asset_fixed,false,Land and buildings — cost,260
1601,,asset_fixed,false,Land and buildings — accumulated depreciation,270
1610,,asset_fixed,false,Leasehold improvements — cost,280
1611,,asset_fixed,false,Leasehold improvements — accumulated depreciation,290
1620,,asset_fixed,false,Plant and machinery — cost,300
1621,,asset_fixed,false,Plant and machinery — accumulated depreciation,310
1630,,asset_fixed,false,Office equipment — cost,320
1631,,asset_fixed,false,Office equipment — accumulated depreciation,330
1640,,asset_fixed,false,Computers — cost,340
1641,,asset_fixed,false,Computers — accumulated depreciation,350
1650,,asset_fixed,false,Furniture and fittings — cost,360
1651,,asset_fixed,false,Furniture and fittings — accumulated depreciation,370
1660,,asset_fixed,false,Motor vehicles — cost,380
1661,,asset_fixed,false,Motor vehicles — accumulated depreciation,390
1670,,asset_fixed,false,Right-of-use assets — cost,400
1671,,asset_fixed,false,Right-of-use assets — accumulated depreciation,410
1700,,asset_non_current,false,Investment property,420
1750,,asset_fixed,false,Intangible assets — cost,430
1751,,asset_fixed,false,Intangible assets — accumulated amortisation,440
1760,,asset_fixed,false,Goodwill,450
1800,,asset_non_current,false,Investments in associates,460
1810,,asset_non_current,false,Investments in joint ventures,470
1830,,asset_non_current,false,Long-term financial assets,480
1840,,asset_non_current,false,Long-term deposits,490
1900,,asset_non_current,false,Deferred tax assets,500
2000,,liability_payable,true,Trade payables,510
2010,,liability_current,false,Accrued expenses,520
2020,,liability_current,false,Other payables,530
2030,,liability_current,false,Amounts due to related companies,540
2040,,liability_current,false,Deposits received from customers,550
2100,,liability_current,false,VAT output tax,560
2101,,liability_current,false,NHIL output levy,570
2102,,liability_current,false,GETFund output levy,580
2110,,liability_current,true,VAT and levies payable to GRA — net of a filed return,590
2125,,liability_current,false,Import VAT and levies payable to GRA Customs at the border,600
2130,,liability_current,false,VAT withheld from suppliers — payable to GRA,610
2135,,liability_current,false,Communications Service Tax payable,620
2140,,liability_current,false,Withholding tax payable to GRA,630
2150,,liability_current,false,SSNIT contributions payable — first tier,640
2155,,liability_current,false,Occupational pension contributions payable — second tier,650
